1	49	1
1	126	1
1	138	1
1	141	1
1	177	1
1	268	3
1	511	1
1	587	1
1	772	5
1	941	1
2	116	4
2	204	3
2	206	4
2	266	4
2	462	4
2	680	2
2	693	3
2	755	2
2	809	3
2	854	5
3	100	3
3	162	3
3	169	3
3	174	3
3	192	3
3	207	2
3	213	3
3	593	3
3	729	2
3	898	3
4	100	1
4	267	1
4	388	1
4	405	1
4	410	1
4	577	1
4	589	1
4	881	1
4	895	1
4	930	1
5	136	1
5	449	1
5	500	1
5	603	1
5	607	1
5	611	1
5	692	1
5	729	1
5	849	1
5	899	1
6	15	2
6	164	1
6	296	1
6	444	2
6	450	1
6	453	1
6	679	1
6	817	1
6	820	3
6	865	2
7	79	1
7	220	1
7	230	1
7	293	1
7	470	1
7	612	1
7	808	1
7	873	1
7	920	1
7	922	1
8	68	1
8	161	2
8	356	1
8	548	1
8	780	2
8	783	2
8	788	1
8	820	1
8	873	1
8	997	1
9	109	2
9	121	3
9	162	2
9	260	1
9	264	2
9	385	2
9	534	2
9	574	3
9	627	1
9	999	1
10	42	3
10	291	4
10	383	1
10	463	1
10	467	2
10	501	2
10	657	4
10	895	4
10	906	4
10	965	2
11	9	3
11	15	3
11	153	4
11	199	2
11	241	2
11	556	2
11	814	1
11	846	1
11	875	1
11	987	1
12	6	3
12	19	4
12	23	2
12	164	1
12	285	2
12	457	2
12	474	3
12	764	2
12	860	3
12	978	1
13	48	4
13	83	5
13	148	5
13	157	4
13	262	4
13	393	4
13	476	4
13	573	5
13	587	4
13	683	4
14	80	1
14	158	1
14	308	1
14	378	2
14	476	1
14	511	1
14	518	1
14	601	1
14	611	1
14	671	2
15	116	1
15	197	3
15	295	1
15	324	1
15	444	1
15	478	1
15	520	1
15	691	1
15	863	1
15	911	1
16	35	4
16	73	2
16	133	4
16	264	3
16	425	3
16	559	2
16	770	3
16	779	3
16	842	2
16	855	4
17	24	4
17	28	1
17	33	1
17	140	1
17	154	3
17	217	1
17	310	2
17	320	2
17	457	1
17	960	1
18	5	1
18	50	4
18	163	1
18	544	4
18	575	4
18	598	1
18	614	3
18	622	1
18	732	1
18	919	4
19	12	1
19	97	2
19	311	2
19	414	2
19	569	2
19	628	2
19	744	2
19	750	2
19	756	2
19	825	2
20	79	2
20	159	1
20	246	2
20	424	2
