@metric_space vector
item99 1.70787 3.68719 2.13704 3.94717 -3.43548 4.92036 -5.47797 8.46421 4.32512 6.00352 -8.4983 -7.24263 -0.854069 -5.47656 5.78803 7.19187 4.56619 4.25611 5.17712 9.29952
item98 0.155938 3.04783 -4.55544 -6.08322 -5.48852 -5.32242 5.74559 5.52221 -1.92111 -5.24586 -1.89823 9.78676 8.44133 -9.76119 3.73393 -4.99415 5.15917 8.25596 -6.52994 -0.515719
item97 4.25947 -5.02825 2.24166 -6.5946 -0.504802 -1.97031 -9.40272 -5.93861 -7.7142 5.77439 -6.63909 2.44174 -1.17777 -1.19453 6.35852 3.3337 3.48305 2.10411 -1.14409 -8.43806
item96 6.85825 6.95768 -8.65129 5.29958 7.19649 5.08264 -9.69456 2.35566 3.33859 -6.2245 -8.16006 -2.40193 -1.25275 4.08159 1.00347 8.24245 -7.88872 1.60075 -7.69616 -5.60292
item95 -2.62485 -4.33525 6.83882 6.19737 4.47022 3.19734 -0.468924 -2.04673 -4.69855 8.38699 -0.484782 -7.8403 5.34467 0.863926 7.45929 2.54116 -4.05344 7.76472 -5.10318 9.28516
item94 -8.45978 -3.26324 -3.11678 0.287468 -9.18165 7.8867 -1.47008 -7.07037 -0.512552 0.833754 -2.67329 6.86259 6.4985 -5.83447 3.05997 0.968725 7.36287 -7.40896 8.922 -7.33568
item93 -9.02197 -1.56278 -5.17598 6.32271 9.30114 -7.7167 -1.13613 -4.7523 -9.95197 3.76069 -5.46714 -8.41175 -9.50256 1.41609 1.87571 -8.68421 -0.697216 -9.59437 -5.75458 8.79023
item92 1.23939 1.57213 5.65283 -2.26211 5.73766 -1.28721 8.70661 3.10053 1.30383 7.62861 5.76484 2.28186 -3.93417 -9.41114 -1.39543 -4.63303 -7.12783 7.46844 0.614677 -7.07981
item91 1.22913 5.14754 -5.49156 1.72657 -3.43638 6.38415 3.04236 5.86641 6.78978 7.28778 4.65664 -1.97083 -1.14009 0.309466 5.76706 -5.40243 9.02226 4.47367 7.69809 0.326088
item90 2.10228 3.46294 -7.39205 8.16811 4.0518 1.21252 -6.46492 6.92397 -1.31904 4.14976 9.84416 9.91009 -0.702703 -5.6474 1.63666 5.86092 -9.26325 -5.32098 1.72733 7.52653
item89 -8.0332 -3.61603 -4.4443 0.826704 6.69343 -8.67724 5.42427 5.71569 5.79643 3.12236 -3.95822 -2.10129 -3.4147 -1.35027 -3.93318 -9.3629 9.86225 -0.3981 7.56106 -1.45679
item88 -6.24834 7.40522 -1.5467 3.04896 -8.24218 -9.91005 -1.09012 -7.50543 -5.23103 -9.36279 -9.9789 -3.26424 -2.97883 -4.4232 7.56247 -6.28539 -3.10044 2.98674 9.4303 -7.30401
item87 -3.8909 -4.52792 0.594696 2.6944 4.12181 6.66151 3.3315 3.98406 -3.73658 0.892565 -7.47273 0.0150743 -1.70221 0.980569 -6.93597 0.0556063 1.07052 1.97391 2.55018 5.83949
item86 2.61111 2.57128 -7.42475 9.63229 8.14808 -9.86228 -6.6531 -4.95236 3.12446 -7.2228 -2.25637 9.23357 -1.75072 8.33833 1.92797 -7.62891 4.99984 -4.74053 6.35515 -8.73674
item85 6.15203 8.88242 1.27833 -5.55018 -0.137008 4.34236 4.50543 -9.06649 -3.68373 -2.9444 6.773 8.92738 9.62688 9.34826 8.55967 7.77496 9.48598 -8.09343 -7.1774 2.61044
item84 -5.31624 0.566236 1.84401 2.93304 -1.09544 -6.22802 5.30413 -6.09559 -0.968556 1.65928 -4.83234 -4.81652 0.541699 6.446 -0.366703 -9.59531 0.788358 -5.86128 -8.6618 7.10463
item83 1.19433 8.11121 6.03201 0.821205 7.45946 4.59168 -1.40383 6.94544 6.49825 1.41877 -0.444116 -8.81799 -8.01499 -8.60011 4.11505 0.88957 -4.82813 -0.58082 4.79398 4.20331
item82 -8.92154 9.96164 9.38679 1.62015 6.40764 -0.979915 2.02485 -2.80401 3.15881 3.36305 -5.69938 -5.64687 1.47425 -9.66737 5.17434 -1.06628 4.92431 -6.22949 -4.12084 1.42256
item81 5.18928 5.43504 2.60458 7.17428 6.83493 -3.28037 -1.93615 -7.9932 6.13881 -7.14217 6.21011 7.21727 -7.18053 5.5969 -1.16258 9.2271 -5.38302 -9.13773 -3.5769 7.77579
