Cosine LSH
0 163 446 579 180 697 
1 725 606 94 158 560 
2 117 359 327 455 549 
3 822 940 740 791 100 
4 79 157 600 510 307 
5 840 581 701 901 505 
6 893 664 753 365 111 
7 421 520 751 95 206 
8 924 496 431 793 969 
9 734 96 215 480 992 
10 58 925 429 563 242 
11 32 139 216 27 959 
12 265 447 637 215 797 
13 676 457 873 953 261 
14 97 861 295 510 569 
15 927 435 838 654 721 
16 163 977 763 284 22 
17 760 504 591 70 42 
18 106 585 654 272 459 
19 808 480 215 138 774 
20 462 382 466 964 676 
21 241 500 841 52 510 
22 804 31 431 928 144 
23 510 446 163 180 697 
24 656 734 992 150 63 
25 760 70 591 731 645 
26 450 498 886 120 195 
27 354 510 579 825 446 
28 4 597 162 621 783 
29 206 728 984 302 165 
30 462 382 96 734 466 
31 236 779 207 621 542 
32 679 692 203 808 972 
33 993 846 367 511 362 
34 462 382 992 734 96 
35 716 247 528 984 779 
36 844 881 558 72 841 
37 867 294 121 671 604 
38 809 346 396 791 822 
39 622 629 194 250 619 
40 82 265 637 272 447 
41 510 940 137 140 48 
42 452 449 678 295 816 
43 626 272 536 151 903 
44 986 845 874 940 771 
45 990 55 981 325 173 
46 998 259 626 502 839 
47 655 773 581 155 97 
48 4 597 731 621 47 
49 838 178 258 52 797 
50 924 694 915 434 626 
51 589 22 238 204 360 
52 694 924 844 731 597 
53 730 590 934 380 435 
54 123 912 607 800 577 
55 993 846 396 367 511 
56 545 123 388 658 250 
57 460 998 265 643 95 
58 679 754 362 178 433 
59 844 838 258 52 178 
60 89 545 196 466 484 
61 128 435 838 769 927 
62 754 679 692 808 203 
63 170 512 876 768 205 
64 52 258 178 838 156 
65 781 698 158 467 436 
66 258 178 52 217 321 
67 874 930 468 526 493 
68 259 626 998 109 91 
69 163 977 96 106 177 
70 619 415 254 899 136 
71 239 687 92 576 40 
72 231 167 47 97 399 
73 202 71 859 605 827 
74 477 323 443 910 519 
75 694 924 559 915 296 
76 813 845 874 986 370 
77 460 998 406 353 414 
78 844 235 914 705 178 
79 607 77 367 824 958 
80 455 327 359 549 117 
81 307 359 328 151 977 
82 35 678 295 452 449 
83 962 804 870 368 548 
84 264 21 256 169 833 
85 986 813 845 936 749 
86 688 123 607 434 185 
87 940 346 569 809 862 
88 977 163 871 901 47 
89 629 250 98 194 622 
