Hamming Clustering
0 698 451 311 544 358 
1 723 516 342 416 569 
2 38 925 748 940 294 
3 38 925 748 940 294 
4 698 311 451 544 700 
5 179 536 977 412 823 
6 544 608 158 4 589 
7 671 600 111 382 817 
8 631 165 162 915 452 
9 671 111 600 817 372 
10 177 480 213 397 336 
11 264 675 728 80 998 
12 925 38 748 940 294 
13 494 462 396 681 331 
14 516 723 342 416 569 
15 343 631 416 388 940 
16 544 608 158 4 589 
17 544 608 158 380 589 
18 631 165 162 452 915 
19 38 925 748 940 294 
20 544 608 158 4 380 
21 544 608 158 4 380 
22 388 586 775 535 258 
23 631 165 162 452 915 
24 631 165 162 452 915 
25 179 536 977 412 823 
26 918 847 816 116 569 
27 723 516 342 569 416 
28 544 608 158 4 380 
29 925 38 748 940 558 
30 698 451 311 544 358 
31 925 38 748 940 558 
32 698 311 451 544 700 
33 835 222 929 274 361 
34 38 925 748 940 558 
35 247 694 624 870 485 
36 343 631 416 388 940 
37 247 694 870 624 485 
38 530 586 600 90 140 
39 544 608 158 4 380 
40 38 925 748 940 294 
41 516 723 342 416 569 
42 38 925 748 940 558 
43 631 165 162 915 452 
44 976 773 270 675 535 
45 179 536 977 412 823 
46 925 38 748 940 558 
47 925 38 748 940 294 
48 343 631 416 388 940 
49 494 462 396 681 331 
50 694 247 624 870 485 
51 343 631 416 388 940 
52 925 38 748 940 294 
53 924 453 461 520 222 
54 247 694 624 870 485 
55 544 608 158 4 380 
56 925 38 748 940 558 
57 343 631 416 388 940 
58 264 675 728 998 80 
59 631 165 162 452 915 
60 38 925 748 940 558 
61 835 222 929 361 274 
62 264 675 728 998 80 
63 762 901 232 634 164 
64 925 38 748 940 558 
65 516 723 342 569 416 
66 925 38 748 940 558 
67 544 608 158 4 380 
68 431 627 6 803 697 
69 835 222 929 361 274 
70 38 925 748 940 294 
71 264 675 728 998 80 
72 343 631 416 388 940 
73 946 96 393 241 457 
74 925 38 748 940 294 
75 976 270 773 675 535 
76 480 177 213 397 336 
77 494 462 396 681 331 
78 698 451 311 544 598 
79 723 516 342 569 416 
80 946 96 393 241 457 
81 38 925 748 940 294 
82 431 627 6 803 697 
83 530 586 600 140 90 
84 264 675 728 80 386 
85 627 431 6 803 697 
86 925 38 748 940 294 
87 38 925 748 940 294 
88 431 627 6 803 697 
89 516 723 342 416 569 
90 494 462 396 681 331 
91 480 177 213 397 336 
92 480 177 213 397 336 
93 530 586 600 991 90 
94 631 165 162 915 452 
95 38 925 748 940 558 
96 918 874 816 847 569 
97 544 608 158 4 589 
